"","MF","MW","Ncharges","C","N","O","S","Cl","F","Br","H","I","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP1","C12N4OS2",280.2846,0,12,4,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,2,120.45,3.0534
"CMP2","C20ClN2O3S",383.7436,0,20,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,4,92.81,3.8369
"CMP3","C20ClN3O3S",397.7503,0,20,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,99.98,2.6508
"CMP4","C14FN2OS",263.2260032,0,14,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,62.6,2.3124
"CMP5","C18Cl2N3O4S2",457.2463,0,18,3,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,3,140.37,4.5776
"CMP6","C17ClN3O3S2",393.7832,0,17,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,131.14,4.159
"CMP7","C20BrN3O",378.1375,0,20,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,38.13,4.0175
"CMP8","C21ClN3O2",361.6966,0,21,3,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,4,3,47.36,3.917
"CMP9","C18HN2O2S",309.27774,0,18,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,3,3,71.83,3.0857
"CMP10","C21F3N3O",367.2394096,0,21,3,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,38.13,4.2738
"CMP11","C22N3O",322.2549,0,22,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,38.13,3.8718
"CMP12","C21ClN3O",345.6972,0,21,3,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,38.13,4.2168
"CMP13","C24N3O",346.2763,0,24,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,38.13,4.5976
"CMP14","C22N3O",322.2549,0,22,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,3,38.13,3.8718
"CMP15","C22ClO4",363.686,0,22,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,4,1,52.6,4.48
"CMP16","C22ClO4",363.686,0,22,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,4,1,52.6,4.48
"CMP17","C21N3O3",342.243,0,21,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,71,2.6384
"CMP18","C21BrN3O3",422.147,0,21,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,71,3.4009
