"","MF","MW","Ncharges","C","Cl","N","O","S","I","F","Br","Ge","Si","H","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP1","C21ClN2O3S",395.7543,0,21,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,4,4,92.45,4.5945
"CMP2","C10N",134.1137,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,12.03,1.8003
"CMP3","C26N2O2S",404.3554,0,26,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,3,69.42,5.0013
"CMP4","C12N5O",230.1613,0,12,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3,82.76,1.8829
"CMP5","C22N2O5S",404.3108,0,22,0,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,3,2,113.73,3.5771
"CMP6","C14N2OS2",276.2926,0,14,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,88.43,2.9861
"CMP7","C33N2O5",504.3635,0,33,0,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,6,6,91.83,4.6114
"CMP8","C21I2N7O3",652.07874,0,21,0,7,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,4,133.45,4.0121
"CMP9","C14NO",198.1559,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,33.12,1.9507
"CMP10","C13NO3",218.144,0,13,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,1,38.77,0.931
"CMP11","C16N2O2S",284.2484,0,16,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,67.61,2.8785
"CMP12","C23NO3",338.251,0,23,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,4,2,57.61,3.0708
"CMP13","C20NO3",302.2189,0,20,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,2.5004
"CMP14","C23N2O3",352.2577,0,23,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2,64.23,2.9538
"CMP15","C8N2O4",188.0966,4,8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,91.64,2.5307
"CMP16","C18",216.1926,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,4.2396
"CMP17","C23O3",324.2443,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,46.53,4.2452
"CMP18","C6N5O2",174.0965,0,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,112.55,0.2034
"CMP19","C19FNO3",309.2066032,0,19,0,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3,2,57.61,2.3311
