"","MF","MW","Ncharges","C","I","N","O","S","Br","Cl","F","H","P","Na","K","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP1","C12INOS",333.10397,2,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,52.35,3.0015
"CMP2","C20O2",272.2128,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,26.3,4.4939
"CMP3","C20NO4",318.2183,0,20,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,3,82.28,3.0751
"CMP4","C17NO5",298.1856,2,17,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,1,98.94,0.7403
"CMP5","C13O3S",236.2023,0,13,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,71.61,3.0088
"CMP6","C11BrN4O2S",332.1123,0,11,0,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,125.35,2.6652
"CMP7","C15Cl2N3O",309.086,0,15,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,60.05,4.5725
"CMP8","C16ClN2O",271.637,2,16,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,3,18.04,3.4804
"CMP9","C19F3N2O2",345.2107096,0,19,0,2,2,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,3,2,35.94,3.7447
"CMP10","C14F3N2O3",301.1566096,2,14,0,2,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,67.08,4.962
"CMP11","C12N4O2",232.154,0,12,0,4,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,64.68,1.0524
"CMP12","C15N2OS",256.2383,0,15,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,57.97,2.7003
"CMP13","C18NO3",278.1975,0,18,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,55.4,3.4533
"CMP14","C12NO4",222.1327,0,12,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,75.63,0.9382
"CMP15","C9NO4S",218.1656,2,9,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,111.36,3.0762
"CMP16","C20N4O",312.2402,0,20,0,4,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,48.47,2.8434
"CMP17","C15Cl2NO2",297.072,0,15,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,42.23,4.576
"CMP18","C11N4",188.1445,0,11,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,54.46,2.0199
"CMP19","C14ClF3NO",290.6041096,0,14,0,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.6841
"CMP20","C16NO5",286.1749,0,16,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,2,84.86,2.7273
"CMP21","C12N5O",230.1613,0,12,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,3,54.38,1.2106
"CMP22","C20N2O3S",348.2906,2,20,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,91.43,4.8463
"CMP23","C16ClNO",257.6303,0,16,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.3744
"CMP24","C18N2O2",276.2048,0,18,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,64.52,2.9874
"CMP25","C13O4S2",284.2667,0,13,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,131.08,3.5319
"CMP26","C24N3O",346.2763,0,24,0,3,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,35.58,3.8301
"CMP27","C17Cl2N2O",319.1007,0,17,0,2,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2,28.4,4.0238
"CMP28","C26N2O",356.291,0,26,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,3,23.55,4.5424
"CMP29","C13ClFNO",240.5966032,0,13,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,3.8044
"CMP30","C16INO2",365.08117,0,16,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,49.93,3.4924
"CMP31","C14N5O",254.1827,0,14,0,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,3,63.17,2.362
"CMP32","C17N4O2",292.2075,0,17,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,93.24,2.6278
"CMP33","C16BrNO",302.0813,0,16,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.4835
"CMP34","C16N2",220.1846,0,16,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,15.27,2.7727
"CMP35","C17O3S",284.2451,0,17,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,82.61,4.7807
"CMP36","C18FN3O",293.2105032,0,18,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,39.29,3.3741
"CMP37","C17Br2N2O",408.0027,0,17,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2,28.4,4.242
"CMP38","C16N2O2",252.1834,0,16,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,50.27,2.4325
"CMP39","C18ClN2O2",311.6578,0,18,0,2,2,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,3,2,35.94,3.3793
"CMP40","C24NO2",334.2623,0,24,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,4,21.7,4.867
"CMP41","C15F3O4",301.1533096,0,15,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,1,59.67,3.1061
"CMP42","C23BrN3O2",430.169,0,23,0,3,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,43.86,3.3528
"CMP43","C16BrNO",302.0813,0,16,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,4.4835
"CMP44","C14N2",196.1632,0,14,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,15.27,2.8627
"CMP45","C9N2O3",184.1079,0,9,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,78.43,1.3589
"CMP46","C12N3O4",250.1461,4,12,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,94.88,3.5538
"CMP47","C20Cl2N3O",369.1395,0,20,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,4,42.98,4.9757
"CMP48","C9N3S",182.1814,0,9,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,52.93,0.4753
"CMP49","C16ClNO2",273.6297,0,16,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,38.33,3.9112
"CMP50","C9ClN2O",187.5621,0,9,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,37.52,0.3093
"CMP51","C12ClNO",209.5875,0,12,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,46.25,3.1672
"CMP52","C23ClN3O2",385.718,0,23,0,3,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,43.86,3.2437
"CMP53","C21NO3",314.2296,0,21,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,55.4,4.6109
"CMP54","C15N2",208.1739,0,15,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,15.27,2.7302
"CMP55","C12N3O2",218.1473,2,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,60.35,1.8198
"CMP56","C11N3O2",206.1366,0,11,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,73.99,1.7306
"CMP57","C22N2O",308.2482,0,22,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,4,37.19,4.6489
"CMP58","C15NO4",258.1648,0,15,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,79.54,2.8138
"CMP59","C15N4",236.1873,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,32.26,1.8017
"CMP60","C18ClN2O",295.6584,0,18,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,2,15.71,3.6737
