"","MF","MW","Ncharges","C","Cl","N","O","S","H","I","F","Br","Ge","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP1","C42ClN7O7S",782.0101,0,42,1,7,7,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,8,8,202.78,7.0705
"CMP2","C40HClN7O7S2",791.06164,0,40,1,7,7,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,8,7,211.16,8.3396
"CMP3","C42ClN8O7S",796.0168,0,42,1,8,7,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,0,7,7,206.02,6.7635
"CMP4","C40HClN8O6S2",789.06894,0,40,1,8,6,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,7,7,201.26,7.6594
"CMP5","C54ClN8O10S2",1020.2084,0,54,1,8,10,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,0,0,10,7,287.64,9.8342
"CMP6","C27H4ClN5O8S",593.86736,0,27,1,5,8,1,4,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,6,5,213.31,1.7254
"CMP7","C39ClN7O8S",761.9774,0,39,1,7,8,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,7,7,212.01,5.9259
"CMP8","C21ClN2O3S",395.7543,0,21,1,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,4,4,92.45,4.5945
"CMP9","C37HClN8O6S3",785.10184,0,37,1,8,6,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,7,7,239.15,7.5637
"CMP10","C31N6O4",520.3695,0,31,0,6,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,5,5,122.36,4.2763
"CMP11","C29HN6O4S",529.42104,0,29,0,6,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,4,130.74,5.5454
"CMP12","C31N7O4",534.3762,0,31,0,7,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,4,4,125.6,3.9693
"CMP13","C29HN7O3S",527.42834,0,29,0,7,3,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,4,120.84,4.8652
"CMP14","C43N7O7S",758.5678,0,43,0,7,7,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,7,4,207.22,7.04
"CMP15","C16H4N4O5",332.22676,0,16,0,4,5,0,4,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,3,2,132.89,-1.0688
"CMP16","C28N6O5",500.3368,0,28,0,6,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,4,4,131.59,3.1317
"CMP17","C10N",134.1137,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,12.03,1.8003
