"CMP","MF","MW","Ncharges","C","H","N","O","S","Br","K","Cl","Zn","P","Na","I","F","Ca","Se","Cu","As","Cd","Hg","Pt","Co","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP","Active","Index"
"CMP1","C23HN3O6",415.27054,0,23,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,4,2,142.9,1.575,0,1
"CMP2","C6NO2",118.0697,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,50.19,0.779,0,2
"CMP3","C21O10",412.2187,0,21,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,2,0,0,3,2,177.1,-0.2,0,3
"CMP4","C38N2O6",580.4164,0,38,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,6,4,61.86,7.038,0,4
"CMP5","C46NO17",838.4887,0,46,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1,0,1,8,0,0,3,0,238.6,1.833,0,5
"CMP6","C17O4",268.1795,0,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,3,48.67,3.477,0,6
"CMP7","C20N4O18S2",648.36,0,20,0,4,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,4,0,0,3,0,414.3,-2.26,0,7
"CMP8","C14O5",248.1468,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,3,3,94.83,1.578,0,8
"CMP9","C17O4",268.1795,0,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,2,44.76,3.41,0,9
"CMP10","C15O4",244.1581,0,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,3,74.6,2.181,0,10
"CMP11","C17O4",268.1795,0,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,3,48.67,3.477,0,11
"CMP12","C15O3",228.1587,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,2,49.69,3.276,0,12
"CMP13","C16O5",272.1682,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,3,2,79.9,2.879,0,13
"CMP14","C20O5",320.211,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,3,0,86.99,1.962,0,14
"CMP15","C15O7",292.1563,0,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,3,2,130.6,1.251,0,15
"CMP16","C8BrNO2",221.9951,0,8,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,29.54,1.317,0,16
"CMP17","C15O3",228.1587,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,57.53,3.174,0,17
